,source_origin,target_origin,source,target,weight,distance
39200,camp_springs_md,mt_clemens_mi,"Camp Springs, MD","Mt. Clemens, MI",34.0,408.0
39201,state_college_pa,oklahoma_city_ok,"State College, PA","Oklahoma City, OK",34.0,1137.0
39202,niagara_falls_ny,bemidji_mn,"Niagara Falls, NY","Bemidji, MN",34.0,834.0
39203,roanoke_va,omaha_ne,"Roanoke, VA","Omaha, NE",34.0,894.0
39204,bemidji_mn,niagara_falls_ny,"Bemidji, MN","Niagara Falls, NY",34.0,834.0
39205,college_stationbryan_tx,long_beach_ca,"College Station/Bryan, TX","Long Beach, CA",34.0,1293.0
39206,memphis_tn,sioux_city_ia,"Memphis, TN","Sioux City, IA",34.0,614.0
39207,scrantonwilkes-barre_pa,newburghpoughkeepsie_ny,"Scranton/Wilkes-Barre, PA","Newburgh/Poughkeepsie, NY",34.0,85.0
39208,tampa_fl,charlottesville_va,"Tampa, FL","Charlottesville, VA",34.0,739.0
39209,bedford_ma,missionmcallenedinburg_tx,"Bedford, MA","Mission/McAllen/Edinburg, TX",34.0,1893.0
39210,charlottesville_va,nashville_tn,"Charlottesville, VA","Nashville, TN",34.0,475.0
39211,missionmcallenedinburg_tx,bedford_ma,"Mission/McAllen/Edinburg, TX","Bedford, MA",34.0,1893.0
39212,camp_springs_md,pittsburgh_pa,"Camp Springs, MD","Pittsburgh, PA",34.0,214.0
39213,manhattanft_riley_ks,cincinnati_oh,"Manhattan/Ft. Riley, KS","Cincinnati, OH",34.0,658.0
39214,colorado_springs_co,cherry_point_nc,"Colorado Springs, CO","Cherry Point, NC",34.0,1559.0
39215,oklahoma_city_ok,state_college_pa,"Oklahoma City, OK","State College, PA",34.0,1137.0
39216,charlottesville_va,tampa_fl,"Charlottesville, VA","Tampa, FL",34.0,739.0
39217,pullman_wa,portland_or,"Pullman, WA","Portland, OR",34.0,275.0
39218,yuma_az,bullhead_city_az,"Yuma, AZ","Bullhead City, AZ",34.0,173.0
39219,missoula_mt,walla_walla_wa,"Missoula, MT","Walla Walla, WA",34.0,208.0
39220,lake_charles_la,alexandria_la,"Lake Charles, LA","Alexandria, LA",34.0,92.0
39221,mt_clemens_mi,camp_springs_md,"Mt. Clemens, MI","Camp Springs, MD",34.0,408.0
39222,allentownbethlehemeaston_pa,saginawbay_citymidland_mi,"Allentown/Bethlehem/Easton, PA","Saginaw/Bay City/Midland, MI",34.0,486.0
39223,branson_mo,dallasfort_worth_tx,"Branson, MO","Dallas/Fort Worth, TX",34.0,332.0
39224,cleveland_oh,college_stationbryan_tx,"Cleveland, OH","College Station/Bryan, TX",34.0,1101.0
39225,bloomingtonnormal_il,abilene_tx,"Bloomington/Normal, IL","Abilene, TX",34.0,816.0
39226,cincinnati_oh,manhattanft_riley_ks,"Cincinnati, OH","Manhattan/Ft. Riley, KS",34.0,658.0
39227,richmond_va,salisbury_md,"Richmond, VA","Salisbury, MD",34.0,114.0
39228,champaignurbana_il,texarkana_ar,"Champaign/Urbana, IL","Texarkana, AR",34.0,553.0
39229,baltimore_md,alexandria_la,"Baltimore, MD","Alexandria, LA",35.0,1046.0
39230,memphis_tn,pierre_sd,"Memphis, TN","Pierre, SD",35.0,845.0
39231,tupelo_ms,newark_nj,"Tupelo, MS","Newark, NJ",35.0,915.0
39232,colorado_springs_co,winston-salem_nc,"Colorado Springs, CO","Winston-Salem, NC",35.0,1354.0
39233,augusta_ga,gainesville_fl,"Augusta, GA","Gainesville, FL",35.0,254.0
39234,waco_tx,roanoke_va,"Waco, TX","Roanoke, VA",35.0,1059.0
39235,alexandria_la,tyler_tx,"Alexandria, LA","Tyler, TX",35.0,182.0
39236,newburghpoughkeepsie_ny,richmond_va,"Newburgh/Poughkeepsie, NY","Richmond, VA",35.0,325.0
39237,rock_springs_wy,grand_junction_co,"Rock Springs, WY","Grand Junction, CO",35.0,173.0
39238,missionmcallenedinburg_tx,nashville_tn,"Mission/McAllen/Edinburg, TX","Nashville, TN",35.0,967.0
39239,flint_mi,new_york_ny,"Flint, MI","New York, NY",35.0,530.0
39240,orlando_fl,oakland_ca,"Orlando, FL","Oakland, CA",35.0,2437.0
39241,allentownbethlehemeaston_pa,camp_springs_md,"Allentown/Bethlehem/Easton, PA","Camp Springs, MD",35.0,148.0
39242,oklahoma_city_ok,duluth_mn,"Oklahoma City, OK","Duluth, MN",35.0,838.0
39243,topeka_ks,st_louis_mo,"Topeka, KS","St. Louis, MO",35.0,286.0
39244,omaha_ne,beaumontport_arthur_tx,"Omaha, NE","Beaumont/Port Arthur, TX",35.0,790.0
39245,tampa_fl,baton_rouge_la,"Tampa, FL","Baton Rouge, LA",35.0,549.0
39246,cherry_point_nc,fort_dix_nj,"Cherry Point, NC","Fort Dix, NJ",35.0,374.0
39247,roanoke_va,waco_tx,"Roanoke, VA","Waco, TX",35.0,1059.0
39248,pittsburgh_pa,green_bay_wi,"Pittsburgh, PA","Green Bay, WI",35.0,488.0
39249,lexington_ky,wichita_falls_tx,"Lexington, KY","Wichita Falls, TX",35.0,825.0
39250,camp_springs_md,albany_ny,"Camp Springs, MD","Albany, NY",36.0,315.0
39251,everett_wa,portland_or,"Everett, WA","Portland, OR",36.0,161.0
39252,columbus_ms,harlingensan_benito_tx,"Columbus, MS","Harlingen/San Benito, TX",36.0,737.0
39253,las_vegas_nv,liberal_ks,"Las Vegas, NV","Liberal, KS",36.0,792.0
39254,charleston_sc,grand_rapids_mi,"Charleston, SC","Grand Rapids, MI",36.0,750.0
39255,hilo_hi,lanai_hi,"Hilo, HI","Lanai, HI",36.0,143.0
39256,stillwater_ok,greer_sc,"Stillwater, OK","Greer, SC",36.0,842.0
39257,lincoln_ne,athens_ga,"Lincoln, NE","Athens, GA",36.0,877.0
39258,harlingensan_benito_tx,columbus_ms,"Harlingen/San Benito, TX","Columbus, MS",36.0,737.0
39259,waco_tx,columbus_ga,"Waco, TX","Columbus, GA",36.0,723.0
39260,bedford_ma,toledo_oh,"Bedford, MA","Toledo, OH",36.0,646.0
39261,oklahoma_city_ok,van_nuys_ca,"Oklahoma City, OK","Van Nuys, CA",36.0,1188.0
39262,long_beach_ca,camp_springs_md,"Long Beach, CA","Camp Springs, MD",36.0,2310.0
39263,rapid_city_sd,scottsbluff_ne,"Rapid City, SD","Scottsbluff, NE",36.0,152.0
39264,long_beach_ca,college_stationbryan_tx,"Long Beach, CA","College Station/Bryan, TX",36.0,1293.0
39265,columbia_sc,little_rock_ar,"Columbia, SC","Little Rock, AR",36.0,637.0
39266,charlottesville_va,columbus_ga,"Charlottesville, VA","Columbus, GA",36.0,533.0
39267,tuscaloosa_al,little_rock_ar,"Tuscaloosa, AL","Little Rock, AR",36.0,285.0
39268,nashville_tn,topeka_ks,"Nashville, TN","Topeka, KS",36.0,530.0
39269,columbus_ga,charlottesville_va,"Columbus, GA","Charlottesville, VA",36.0,533.0
39270,kenai_ak,barrow_ak,"Kenai, AK","Barrow, AK",36.0,758.0
39271,south_bend_in,omaha_ne,"South Bend, IN","Omaha, NE",36.0,497.0
39272,greer_sc,tulsa_ok,"Greer, SC","Tulsa, OK",36.0,775.0
39273,san_antonio_tx,san_juan_pr,"San Antonio, TX","San Juan, PR",36.0,2181.0
39274,little_rock_ar,tuscaloosa_al,"Little Rock, AR","Tuscaloosa, AL",36.0,285.0
39275,liberal_ks,las_vegas_nv,"Liberal, KS","Las Vegas, NV",36.0,792.0
39276,louisville_ky,lubbock_tx,"Louisville, KY","Lubbock, TX",36.0,953.0
