YearMonth,source,target,Rides planned,Final arrival delay,Final arrival cancelled,Completely cancelled,Intermediate arrival delays,Proportion delayed,Significant Delay
2019-01,Haarlem,Zandvoort aan Zee,93,17,2,2,17,0.18681318681318682,False
2019-01,Heerlen,Eindhoven Centraal,135,46,12,0,59,0.34074074074074073,True
2019-01,Heerlen,Enkhuizen,696,75,5,1,497,0.1079136690647482,False
2019-01,Heerlen,Eygelshoven Markt,95,0,95,0,0,0.0,False
2019-01,Heerlen,Sittard,147,25,1,1,25,0.17123287671232876,False
2019-01,Hengelo,Amsterdam Centraal,214,92,3,2,191,0.4339622641509434,True
2019-01,Hengelo,Oldenzaal,8,0,8,0,0,0.0,False
2019-01,Hilversum,Baarn,20,0,20,0,0,0.0,False
2019-01,Hilversum,Utrecht Centraal,159,12,1,1,64,0.0759493670886076,False
2019-01,Hoofddorp,Almere Oostvaarders,954,171,29,11,475,0.18133616118769882,False
2019-01,Hoofddorp,Amsterdam Centraal,1094,145,98,98,281,0.14558232931726908,False
2019-01,Hoofddorp,Amsterdam Lelylaan,6,0,6,0,0,0.0,False
2019-01,Hoofddorp,Enkhuizen,27,7,0,0,21,0.25925925925925924,True
2019-01,Hoofddorp,Hoorn,27,11,0,0,20,0.4074074074074074,True
2019-01,Hoofddorp,Hoorn Kersenboogerd,189,56,4,2,147,0.2994652406417112,True
2019-01,Hoofddorp,Leiden Centraal,4,1,0,0,1,0.25,True
2019-01,Hoofddorp,Lelystad Centrum,30,1,0,0,13,0.03333333333333333,False
2019-01,Hoofddorp,Utrecht Centraal,765,131,17,7,488,0.17282321899736147,False
2019-01,Hoofddorp,Weesp,36,3,0,0,9,0.08333333333333333,False
2019-01,Hoorn,Amsterdam Centraal,990,177,14,3,667,0.17933130699088146,False
2019-01,Hoorn,Hoofddorp,7,2,0,0,2,0.2857142857142857,True
2019-01,Hoorn Kersenboogerd,Amsterdam Sloterdijk,142,23,0,0,64,0.1619718309859155,False
2019-01,Hoorn Kersenboogerd,Hoofddorp,189,44,4,1,140,0.23404255319148937,True
2019-01,Hoorn Kersenboogerd,Leiden Centraal,780,271,73,5,528,0.3496774193548387,True
